,整數數字
重慶南路一段,1106
重慶南路三段,483
重慶南路二段,442
重陽路,442
金山北路,440
金山南路一段,146
金山南路二段,146
金泰段,1092
金湖路,566
金莊路,869
金華段一小段,708
金華段三小段,965
金華段二小段,378
金華段四小段,474
金華街,474
金豐街,92
金門街,291
金龍路,535
銅山街,450
錦州街,114
錦西街,1087
鎮江街,218
長壽路,302
長安東路一段,256
長安東路二段,451
長安段一小段,995
長安段四小段,995
長安西路,169
長春段一小段,496
長春段三小段,219
長春段二小段,45
長春路,763
長沙街二段,586
長泰街,269
長順街,893
開元街,415
開封街一段,587
開封街二段,218
開明段一小段,119
開明段三小段,1129
開明段二小段,117
開明街,0
關渡段一小段,415
關渡段三小段,185
關渡段二小段,828
關渡路,463
陽光街,185
陽明段一小段,1078
陽明段三小段,682
陽明段四小段,365
隆昌街,588
雅江街,101
雅祥段一小段,113
雅祥段三小段,1080
雅祥段二小段,666
雅祥段四小段,111
雙全街,140
雙和街,792
雙園段一小段,666
雙園段三小段,1168
雙園段二小段,248
雙園街,666
雙城街,43
雙溪街,1229
雙連段一小段,112
雙連段三小段,442
雙連段二小段,1093
雙連街,1070
雨聲街,265
雨農路,315
雲和街,617
青島東路,767
青年段一小段,905
青年段二小段,715
青年路,1139
青田街,1139
青雲街,1139
頭廷段一小段,905
頭廷段三小段,1105
頭廷段二小段,1105
館前路,965
饒河街,901
麗山段一小段,1139
麗山段三小段,1139
麗山段二小段,1139
麗山段五小段,1139
麗山段四小段,574
麗山街,1103
麗水街,1234
齊東街,1105
龍山段一小段,190
龍山段二小段,967
龍江路,1032
龍泉段一小段,566
龍泉段三小段,560
龍泉段二小段,1139
龍泉街,1139
,1139
